DATETIME,close_unadj,price,div,price w tax
1993-01-29,43.9375,24.2414093,False,30.15023651
1993-02-01,44.25,24.41381454,False,30.36467018
1993-02-02,44.34375,24.46554565,False,30.42900696
1993-02-03,44.8125,24.7241745,False,30.75067215
1993-02-04,45.0,24.82761765,False,30.87933235
1993-02-05,44.96875,24.81037521,False,30.85788765
1993-02-08,44.96875,24.81037521,False,30.85788765
1993-02-09,44.65625,24.63796806,False,30.64345264
1993-02-10,44.71875,24.6724453,False,30.68633671
1993-02-11,44.9375,24.7931366,False,30.83644562
1993-02-12,44.59375,24.60347748,False,30.60055923
1993-02-16,43.46875,23.98278999,False,29.828578
1993-02-17,43.4375,23.9655571,False,29.80713997
1993-02-18,43.40625,23.94830513,False,29.78568859
1993-02-19,43.5625,24.03451729,False,29.8929121
1993-02-22,43.71875,24.12070656,False,30.00011959
1993-02-23,43.6875,24.10348511,False,29.97868958
1993-02-24,44.25,24.41381454,False,30.36467018
1993-02-25,44.34375,24.46554565,False,30.42900696
1993-02-26,44.40625,24.50003052,False,30.47189636
1993-03-01,44.28125,24.4310379,False,30.38610153
1993-03-02,44.9375,24.7931366,False,30.83644562
1993-03-03,45.125,24.89658165,False,30.96510715
1993-03-04,44.875,24.75864983,False,30.79355488
1993-03-05,44.75,24.68969727,False,30.70778809
1993-03-08,45.75,25.24141693,False,31.39399185
1993-03-09,45.59375,25.15518188,False,31.28675232
1993-03-10,45.6875,25.20692062,False,31.35109444
1993-03-11,45.5625,25.13796043,False,31.2653223
1993-03-12,45.09375,24.8793354,False,30.94365978
1993-03-15,45.3125,25.00003052,False,31.09377136
1993-03-16,45.3125,25.00003052,False,31.09377136
1993-03-17,45.03125,24.84484863,False,30.90076904
1993-03-18,45.3125,25.00003052,False,31.09377136
1993-03-19,45.03125,24.96218872,False,30.9829071
1993-03-22,44.78125,24.82362175,False,30.81091022
1993-03-23,44.875,24.87557983,False,30.87540588
1993-03-24,44.875,24.87557983,False,30.87540588
1993-03-25,45.15625,25.03148651,False,31.06891556
1993-03-26,44.90625,24.89290619,False,30.89690933
1993-03-29,45.09375,24.99683571,False,31.02591
1993-03-30,45.21875,25.06612206,False,31.11191044
1993-03-31,45.1875,25.04880905,False,31.09041634
1993-04-01,45.03125,24.96218872,False,30.9829071
1993-04-02,44.09375,24.44251633,False,30.33788643
1993-04-05,44.3125,24.56378365,False,30.48839855
1993-04-06,44.1875,24.49447632,False,30.40238342
1993-04-07,44.34375,24.58109093,False,30.50988865
1993-04-08,44.28125,24.54642105,False,30.46686974
1993-04-12,44.90625,24.89290619,False,30.89690933
1993-04-13,45.0,24.94487572,False,30.961413
1993-04-14,44.9375,24.91023064,False,30.91841145
1993-04-15,44.9375,24.91023064,False,30.91841145
1993-04-16,44.9375,24.91023064,False,30.91841145
1993-04-19,44.75,24.80630112,False,30.78941078
1993-04-20,44.53125,24.68501854,False,30.63888798
1993-04-21,44.5,24.66770935,False,30.61739655
1993-04-22,43.9375,24.35589981,False,30.23037987
1993-04-23,43.75,24.25195885,False,30.10137119
1993-04-26,43.40625,24.0614109,False,29.86486263
1993-04-27,43.875,24.32123756,False,30.18736629
1993-04-28,43.78125,24.26926994,False,30.12286396
1993-04-29,43.96875,24.37321281,False,30.25187397
1993-04-30,44.03125,24.40785027,False,30.29487019
1993-05-03,44.3125,24.56378365,False,30.48839855
1993-05-04,44.46875,24.65037727,False,30.59588909
1993-05-05,44.59375,24.71967697,False,30.68189888
1993-05-06,44.4375,24.63306808,False,30.57439766
1993-05-07,44.34375,24.58109093,False,30.50988865
1993-05-10,44.4375,24.63306808,False,30.57439766
1993-05-11,44.625,24.73700714,False,30.703405
1993-05-12,44.5625,24.70235634,False,30.66039944
1993-05-13,44.03125,24.40785027,False,30.29487019
1993-05-14,44.0,24.39054108,False,30.27337875
1993-05-17,44.15625,24.4771595,False,30.38088665
1993-05-18,44.125,24.4598465,False,30.35939255
1993-05-19,45.03125,24.96218872,False,30.9829071
