DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT,DIVIDEND_YIELD,FUNDING_COST
2005-12-01,8.234999656677246,,8.234999656677246,,8.234999656677246,,0.0,0.0397
2005-12-02,7.894999980926514,,7.894999980926514,,7.894999980926514,,0.0,0.0399
2005-12-05,8.0,,8.0,,8.0,,0.0,0.0404
2005-12-06,8.34749984741211,,8.34749984741211,,8.34749984741211,,0.0,0.0404
2005-12-07,8.352499961853027,,8.352499961853027,,8.352499961853027,,0.0,0.0403
2005-12-08,8.364999771118164,,8.364999771118164,,8.364999771118164,,0.0,0.0394
2005-12-09,8.875,,8.875,,8.875,,0.0,0.0394
2005-12-12,8.779999732971191,,8.779999732971191,,8.779999732971191,,0.0,0.039
2005-12-13,8.907500267028809,,8.907500267028809,,8.907500267028809,,0.0,0.0391
2005-12-14,8.612500190734863,,8.612500190734863,,8.612500190734863,,0.0,0.0389
2005-12-15,8.800000190734863,,8.800000190734863,,8.800000190734863,,0.0,0.0393
2005-12-16,8.755000114440918,,8.755000114440918,,8.755000114440918,,0.0,0.0393
2005-12-19,8.632499694824219,,8.632499694824219,,8.632499694824219,,0.0,0.0395999999999999
2005-12-20,8.279999732971191,,8.279999732971191,,8.279999732971191,,0.0,0.0395
2005-12-21,8.204999923706055,,8.204999923706055,,8.204999923706055,,0.0,0.0398
2005-12-22,8.28499984741211,,8.28499984741211,,8.28499984741211,,0.0,0.0398
2005-12-23,8.452500343322754,,8.452500343322754,,8.452500343322754,,0.0,0.0399
2005-12-27,8.149999618530273,,8.149999618530273,,8.149999618530273,,0.0,0.0398
2005-12-28,8.352499961853027,,8.352499961853027,,8.352499961853027,,0.0,0.0395
2005-12-29,8.1875,,8.1875,,8.1875,,0.0,0.0401
2005-12-30,8.012499809265137,,8.012499809265137,,8.012499809265137,,0.0,0.0408
2006-01-03,8.5600004196167,,8.5600004196167,,8.5600004196167,,0.0,0.0416
2006-01-04,8.992500305175781,,8.992500305175781,,8.992500305175781,,0.0,0.0419
2006-01-05,9.015000343322754,,9.015000343322754,,9.015000343322754,,0.0,0.042
2006-01-06,9.962499618530272,,9.962499618530272,,9.962499618530272,,0.0,0.0421999999999999
2006-01-09,9.63249969482422,,9.63249969482422,,9.63249969482422,,0.0,0.0423
2006-01-10,9.5625,,9.5625,,9.5625,,0.0,0.0429
2006-01-11,9.567500114440918,,9.567500114440918,,9.567500114440918,,0.0,0.043
2006-01-12,9.5625,,9.5625,,9.5625,,0.0,0.0432
2006-01-13,9.532500267028809,,9.532500267028809,,9.532500267028809,,0.0,0.0433
2006-01-17,9.7475004196167,,9.7475004196167,,9.7475004196167,,0.0,0.0438
2006-01-18,10.397500038146973,,10.397500038146973,,10.397500038146973,,0.0,0.0435
2006-01-19,10.324999809265137,,10.324999809265137,,10.324999809265137,,0.0,0.0435
