Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",37579,1166691,1963
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",38940,1156375,1848
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",36684,829224,1971
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",36173,927653,1833
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",20883,764180,1985
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",20883,92122,1945
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",45467,1535527,2011
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia[3]",20883,1133421,"1994 (Northrop 1939, Grumman 1930)"
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",34754,885725,1979
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",34757,24741,1851
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",27941,1326160,1904
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",42664,4281,1888
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",36038,823768,1968
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",20883,64803,1996
GD,General Dynamics,Industrials,Aerospace & Defense,"Reston, Virginia",20883,40533,1899
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",45558,1571996,2016
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",39351,1571949,2000
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",40499,1466258,1871
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",42083,1101239,1998
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",29676,8670,1949
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",27484,107263,1908
MRSH,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",32020,62709,1905
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",39405,1053507,1995
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",37459,1090727,1907
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",35944,1048286,1927
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",40725,831259,1912
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",29586,1048911,1971
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",32477,320187,1964
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",42810,883241,1986
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",35977,1059556,1909
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",39995,106040,1970
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",32263,713676,1845
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",42996,813672,1988
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",23558,89800,1866
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",45467,1404912,1976
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",36951,723254,1929
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",36465,36104,1968
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",40417,833444,1885
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",39995,1050915,1997
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",20883,66740,1902
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",41395,872589,1988
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",31471,49826,1912
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",45187,1559720,2008
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",32539,31462,1923
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",39899,898173,1957
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",34789,1390777,1784
